wl,n,k
0.3,1.762,0.007
3.02E-01,1.76E+00,7.76E-03
3.04E-01,1.76E+00,8.41E-03
3.06E-01,1.76E+00,8.99E-03
3.08E-01,1.76E+00,9.51E-03
3.10E-01,1.76E+00,1.00E-02
3.12E-01,1.76E+00,1.05E-02
3.14E-01,1.76E+00,1.09E-02
3.16E-01,1.76E+00,1.13E-02
3.18E-01,1.76E+00,1.17E-02
3.20E-01,1.76E+00,1.20E-02
3.22E-01,1.76E+00,1.23E-02
3.24E-01,1.76E+00,1.25E-02
3.26E-01,1.76E+00,1.27E-02
3.28E-01,1.76E+00,1.28E-02
3.30E-01,1.76E+00,1.30E-02
3.32E-01,1.76E+00,1.32E-02
3.34E-01,1.76E+00,1.34E-02
3.36E-01,1.76E+00,1.36E-02
3.38E-01,1.76E+00,1.38E-02
3.40E-01,1.76E+00,1.40E-02
3.42E-01,1.76E+00,1.42E-02
3.44E-01,1.76E+00,1.43E-02
3.46E-01,1.76E+00,1.45E-02
3.48E-01,1.76E+00,1.47E-02
3.50E-01,1.76E+00,1.50E-02
3.52E-01,1.76E+00,1.54E-02
3.54E-01,1.76E+00,1.58E-02
3.56E-01,1.76E+00,1.62E-02
3.58E-01,1.76E+00,1.66E-02
3.60E-01,1.76E+00,1.70E-02
3.62E-01,1.76E+00,1.73E-02
3.64E-01,1.76E+00,1.76E-02
3.66E-01,1.76E+00,1.78E-02
3.68E-01,1.76E+00,1.79E-02
3.70E-01,1.76E+00,1.80E-02
3.72E-01,1.76E+00,1.80E-02
3.74E-01,1.76E+00,1.80E-02
3.76E-01,1.76E+00,1.79E-02
3.78E-01,1.76E+00,1.79E-02
3.80E-01,1.76E+00,1.80E-02
3.82E-01,1.76E+00,1.82E-02
3.84E-01,1.76E+00,1.84E-02
3.86E-01,1.76E+00,1.86E-02
3.88E-01,1.76E+00,1.88E-02
3.90E-01,1.76E+00,1.90E-02
3.92E-01,1.76E+00,1.91E-02
3.94E-01,1.76E+00,1.91E-02
3.96E-01,1.76E+00,1.91E-02
3.98E-01,1.76E+00,1.90E-02
4.00E-01,1.76E+00,1.90E-02
4.02E-01,1.76E+00,1.90E-02
4.04E-01,1.76E+00,1.90E-02
4.06E-01,1.76E+00,1.90E-02
4.08E-01,1.76E+00,1.90E-02
4.10E-01,1.76E+00,1.90E-02
4.12E-01,1.75E+00,1.90E-02
4.14E-01,1.75E+00,1.90E-02
4.16E-01,1.75E+00,1.89E-02
4.18E-01,1.75E+00,1.89E-02
4.20E-01,1.75E+00,1.90E-02
4.22E-01,1.75E+00,1.91E-02
4.24E-01,1.75E+00,1.93E-02
4.26E-01,1.75E+00,1.95E-02
4.28E-01,1.75E+00,1.98E-02
4.30E-01,1.75E+00,2.00E-02
4.32E-01,1.75E+00,2.03E-02
4.34E-01,1.75E+00,2.05E-02
4.36E-01,1.75E+00,2.07E-02
4.38E-01,1.75E+00,2.09E-02
4.40E-01,1.75E+00,2.10E-02
4.42E-01,1.75E+00,2.11E-02
4.44E-01,1.75E+00,2.11E-02
4.46E-01,1.75E+00,2.11E-02
4.48E-01,1.75E+00,2.10E-02
4.50E-01,1.75E+00,2.10E-02
4.52E-01,1.75E+00,2.10E-02
4.54E-01,1.75E+00,2.10E-02
4.56E-01,1.75E+00,2.10E-02
4.58E-01,1.75E+00,2.10E-02
4.60E-01,1.75E+00,2.10E-02
4.62E-01,1.75E+00,2.10E-02
4.64E-01,1.75E+00,2.10E-02
4.66E-01,1.75E+00,2.10E-02
4.68E-01,1.75E+00,2.10E-02
4.70E-01,1.75E+00,2.10E-02
4.72E-01,1.75E+00,2.10E-02
4.74E-01,1.75E+00,2.10E-02
4.76E-01,1.75E+00,2.10E-02
4.78E-01,1.75E+00,2.10E-02
4.80E-01,1.75E+00,2.10E-02
4.82E-01,1.75E+00,2.10E-02
4.84E-01,1.75E+00,2.10E-02
4.86E-01,1.75E+00,2.10E-02
4.88E-01,1.75E+00,2.10E-02
4.90E-01,1.75E+00,2.10E-02
4.92E-01,1.75E+00,2.10E-02
4.94E-01,1.75E+00,2.10E-02
4.96E-01,1.75E+00,2.10E-02
4.98E-01,1.75E+00,2.10E-02
5.00E-01,1.75E+00,2.10E-02
5.02E-01,1.75E+00,2.10E-02
5.04E-01,1.75E+00,2.10E-02
5.06E-01,1.75E+00,2.10E-02
5.08E-01,1.75E+00,2.10E-02
5.10E-01,1.75E+00,2.10E-02
