wl,n,k
0.3,4.82E+00,1.13E-01
3.02E-01,4.79E+00,1.09E-01
3.04E-01,4.77E+00,1.05E-01
3.06E-01,4.74E+00,1.01E-01
3.08E-01,4.72E+00,9.76E-02
3.10E-01,4.70E+00,9.44E-02
3.12E-01,4.68E+00,9.13E-02
3.14E-01,4.65E+00,8.83E-02
3.16E-01,4.63E+00,8.54E-02
3.18E-01,4.61E+00,8.25E-02
3.20E-01,4.60E+00,7.97E-02
3.22E-01,5.12E+00,3.21E+00
3.24E-01,5.13E+00,3.17E+00
3.26E-01,5.14E+00,3.14E+00
3.28E-01,5.16E+00,3.10E+00
3.30E-01,5.18E+00,3.07E+00
3.32E-01,5.20E+00,3.05E+00
3.34E-01,5.22E+00,3.02E+00
3.36E-01,5.24E+00,3.00E+00
3.38E-01,5.27E+00,2.97E+00
3.40E-01,5.29E+00,2.95E+00
3.42E-01,5.32E+00,2.93E+00
3.44E-01,5.35E+00,2.90E+00
3.46E-01,5.39E+00,2.89E+00
3.48E-01,5.43E+00,2.89E+00
3.50E-01,5.48E+00,2.90E+00
3.52E-01,5.55E+00,2.92E+00
3.54E-01,5.63E+00,2.95E+00
3.56E-01,5.73E+00,2.97E+00
3.58E-01,5.86E+00,2.97E+00
3.60E-01,6.01E+00,2.92E+00
3.62E-01,6.20E+00,2.83E+00
3.64E-01,6.41E+00,2.68E+00
3.66E-01,6.60E+00,2.50E+00
3.68E-01,6.76E+00,2.29E+00
3.70E-01,6.86E+00,2.05E+00
3.72E-01,6.89E+00,1.80E+00
3.74E-01,6.86E+00,1.54E+00
3.76E-01,6.78E+00,1.30E+00
3.78E-01,6.67E+00,1.07E+00
3.80E-01,6.55E+00,8.86E-01
3.82E-01,6.42E+00,7.42E-01
3.84E-01,6.30E+00,6.37E-01
3.86E-01,6.19E+00,5.62E-01
3.88E-01,6.08E+00,5.08E-01
3.90E-01,5.98E+00,4.66E-01
3.92E-01,5.88E+00,4.27E-01
3.94E-01,5.80E+00,3.91E-01
3.96E-01,5.72E+00,3.58E-01
3.98E-01,5.65E+00,3.29E-01
4.00E-01,5.59E+00,3.03E-01
4.02E-01,5.52E+00,2.81E-01
4.04E-01,5.46E+00,2.63E-01
4.06E-01,5.41E+00,2.47E-01
4.08E-01,5.36E+00,2.33E-01
4.10E-01,5.31E+00,2.20E-01
4.12E-01,5.26E+00,2.08E-01
4.14E-01,5.21E+00,1.96E-01
4.16E-01,5.17E+00,1.86E-01
4.18E-01,5.13E+00,1.76E-01
4.20E-01,5.09E+00,1.67E-01
4.22E-01,5.05E+00,1.59E-01
4.24E-01,5.02E+00,1.52E-01
4.26E-01,4.99E+00,1.46E-01
4.28E-01,4.95E+00,1.40E-01
4.30E-01,4.93E+00,1.34E-01
4.32E-01,4.90E+00,1.29E-01
4.34E-01,4.87E+00,1.23E-01
4.36E-01,4.84E+00,1.18E-01
4.38E-01,4.82E+00,1.13E-01
4.40E-01,4.79E+00,1.09E-01
4.42E-01,4.77E+00,1.05E-01
4.44E-01,4.74E+00,1.01E-01
4.46E-01,4.72E+00,9.76E-02
4.48E-01,4.70E+00,9.44E-02
4.50E-01,4.68E+00,9.13E-02
4.52E-01,4.65E+00,8.83E-02
4.54E-01,4.63E+00,8.54E-02
4.56E-01,4.61E+00,8.25E-02
4.58E-01,4.60E+00,7.97E-02
4.60E-01,4.58E+00,7.69E-02
4.62E-01,4.56E+00,7.41E-02
4.64E-01,4.54E+00,7.14E-02
4.66E-01,4.52E+00,6.89E-02
4.68E-01,4.51E+00,6.65E-02
4.70E-01,4.49E+00,6.43E-02
4.72E-01,4.48E+00,6.25E-02
4.74E-01,4.46E+00,6.08E-02
4.76E-01,4.45E+00,5.93E-02
4.78E-01,4.43E+00,5.79E-02
4.80E-01,4.42E+00,5.65E-02
4.82E-01,4.40E+00,5.51E-02
4.84E-01,4.39E+00,5.37E-02
4.86E-01,4.37E+00,5.22E-02
4.88E-01,4.36E+00,5.08E-02
4.90E-01,4.35E+00,4.95E-02
4.92E-01,4.34E+00,4.83E-02
4.94E-01,4.33E+00,4.72E-02
4.96E-01,4.31E+00,4.62E-02
4.98E-01,4.30E+00,4.52E-02
5.00E-01,4.29E+00,4.42E-02
5.02E-01,4.28E+00,4.31E-02
5.04E-01,4.27E+00,4.21E-02
5.06E-01,4.26E+00,4.11E-02
5.08E-01,4.25E+00,4.02E-02
5.10E-01,4.24E+00,3.94E-02
5.12E-01,4.23E+00,3.87E-02
5.14E-01,4.22E+00,3.81E-02
5.16E-01,4.21E+00,3.75E-02
5.18E-01,4.20E+00,3.70E-02
5.20E-01,4.19E+00,3.64E-02
5.22E-01,4.18E+00,3.58E-02
5.24E-01,4.17E+00,3.51E-02
5.26E-01,4.17E+00,3.45E-02
5.28E-01,4.16E+00,3.38E-02
5.30E-01,4.15E+00,3.31E-02
5.32E-01,4.14E+00,3.25E-02
5.34E-01,4.13E+00,3.19E-02
5.36E-01,4.13E+00,3.13E-02
5.38E-01,4.12E+00,3.08E-02
5.40E-01,4.11E+00,3.03E-02
5.42E-01,4.10E+00,2.98E-02
5.44E-01,4.10E+00,2.93E-02
5.46E-01,4.09E+00,2.89E-02
5.48E-01,4.08E+00,2.84E-02
5.50E-01,4.08E+00,2.80E-02
5.52E-01,4.07E+00,2.75E-02
5.54E-01,4.06E+00,2.70E-02
5.56E-01,4.06E+00,2.66E-02
5.58E-01,4.05E+00,2.62E-02
5.60E-01,4.04E+00,2.58E-02
5.62E-01,4.04E+00,2.54E-02
5.64E-01,4.03E+00,2.51E-02
5.66E-01,4.03E+00,2.47E-02
5.68E-01,4.02E+00,2.44E-02
5.70E-01,4.02E+00,2.41E-02
5.72E-01,4.01E+00,2.38E-02
5.74E-01,4.00E+00,2.35E-02
5.76E-01,4.00E+00,2.32E-02
5.78E-01,3.99E+00,2.28E-02
5.80E-01,3.99E+00,2.25E-02
5.82E-01,3.98E+00,2.22E-02
5.84E-01,3.98E+00,2.19E-02
5.86E-01,3.97E+00,2.16E-02
5.88E-01,3.97E+00,2.14E-02
5.90E-01,3.96E+00,2.11E-02
5.92E-01,3.96E+00,2.08E-02
5.94E-01,3.95E+00,2.06E-02
5.96E-01,3.95E+00,2.03E-02
5.98E-01,3.94E+00,2.00E-02
6.00E-01,3.94E+00,1.98E-02
6.02E-01,3.93E+00,1.95E-02
6.04E-01,3.93E+00,1.93E-02
6.06E-01,3.93E+00,1.90E-02
6.08E-01,3.92E+00,1.87E-02
6.10E-01,3.92E+00,1.85E-02
6.12E-01,3.91E+00,1.83E-02
6.14E-01,3.91E+00,1.80E-02
6.16E-01,3.90E+00,1.78E-02
6.18E-01,3.90E+00,1.76E-02
6.20E-01,3.90E+00,1.74E-02
6.22E-01,3.89E+00,1.72E-02
6.24E-01,3.89E+00,1.70E-02
6.26E-01,3.89E+00,1.68E-02
6.28E-01,3.88E+00,1.66E-02
6.30E-01,3.88E+00,1.64E-02
6.32E-01,3.88E+00,1.62E-02
6.34E-01,3.87E+00,1.60E-02
6.36E-01,3.87E+00,1.59E-02
6.38E-01,3.86E+00,1.57E-02
6.40E-01,3.86E+00,1.55E-02
6.42E-01,3.86E+00,1.53E-02
6.44E-01,3.85E+00,1.51E-02
6.46E-01,3.85E+00,1.49E-02
6.48E-01,3.85E+00,1.47E-02
6.50E-01,3.84E+00,1.45E-02
6.52E-01,3.84E+00,1.43E-02
6.54E-01,3.84E+00,1.41E-02
6.56E-01,3.84E+00,1.39E-02
6.58E-01,3.83E+00,1.37E-02
6.60E-01,3.83E+00,1.36E-02
6.62E-01,3.83E+00,1.34E-02
6.64E-01,3.82E+00,1.32E-02
6.66E-01,3.82E+00,1.30E-02
6.68E-01,3.82E+00,1.29E-02
6.70E-01,3.82E+00,1.27E-02
6.72E-01,3.81E+00,1.25E-02
6.74E-01,3.81E+00,1.24E-02
6.76E-01,3.81E+00,1.22E-02
6.78E-01,3.80E+00,1.21E-02
6.80E-01,3.80E+00,1.20E-02
6.82E-01,3.80E+00,1.18E-02
6.84E-01,3.79E+00,1.17E-02
6.86E-01,3.79E+00,1.15E-02
6.88E-01,3.79E+00,1.14E-02
6.90E-01,3.79E+00,1.13E-02
6.92E-01,3.78E+00,1.11E-02
6.94E-01,3.78E+00,1.10E-02
6.96E-01,3.78E+00,1.09E-02
6.98E-01,3.78E+00,1.07E-02
7.00E-01,3.77E+00,1.06E-02
7.02E-01,3.77E+00,1.05E-02
7.04E-01,3.77E+00,1.03E-02
7.06E-01,3.77E+00,1.02E-02
7.08E-01,3.76E+00,1.01E-02
7.10E-01,3.76E+00,1.00E-02
7.12E-01,3.76E+00,9.90E-03
7.14E-01,3.76E+00,9.80E-03
7.16E-01,3.76E+00,9.71E-03
7.18E-01,3.75E+00,9.61E-03
7.20E-01,3.75E+00,9.51E-03
7.22E-01,3.75E+00,9.41E-03
7.24E-01,3.75E+00,9.29E-03
7.26E-01,3.74E+00,9.18E-03
7.28E-01,3.74E+00,9.06E-03
7.30E-01,3.74E+00,8.95E-03
7.32E-01,3.74E+00,8.83E-03
7.34E-01,3.74E+00,8.71E-03
7.36E-01,3.74E+00,8.60E-03
7.38E-01,3.73E+00,8.48E-03
7.40E-01,3.73E+00,8.36E-03
7.42E-01,3.73E+00,8.24E-03
0.744,3.72842,0.00812
0.746,3.72662,0.008
0.748,3.72481,0.00788
0.75,3.723,0.00776
0.752,3.72119,0.00764
