wl,n,k
0.3,3.52741,1.26615
3.02E-01,3.53E+00,1.25E+00
3.04E-01,3.53E+00,1.23E+00
3.06E-01,3.54E+00,1.22E+00
3.08E-01,3.54E+00,1.20E+00
3.10E-01,3.54E+00,1.19E+00
3.12E-01,3.54E+00,1.17E+00
3.14E-01,3.55E+00,1.16E+00
3.16E-01,3.55E+00,1.14E+00
3.18E-01,3.55E+00,1.13E+00
3.20E-01,3.55E+00,1.12E+00
3.22E-01,3.55E+00,1.11E+00
3.24E-01,3.56E+00,1.09E+00
3.26E-01,3.56E+00,1.08E+00
3.28E-01,3.56E+00,1.07E+00
3.30E-01,3.56E+00,1.05E+00
3.32E-01,3.56E+00,1.04E+00
3.34E-01,3.57E+00,1.03E+00
3.36E-01,3.57E+00,1.02E+00
3.38E-01,3.57E+00,1.00E+00
3.40E-01,3.57E+00,9.93E-01
3.42E-01,3.57E+00,9.81E-01
3.44E-01,3.58E+00,9.70E-01
3.46E-01,3.58E+00,9.59E-01
3.48E-01,3.58E+00,9.47E-01
3.50E-01,3.59E+00,9.34E-01
3.52E-01,3.59E+00,9.21E-01
3.54E-01,3.59E+00,9.06E-01
3.56E-01,3.59E+00,8.91E-01
3.58E-01,3.59E+00,8.75E-01
3.60E-01,3.59E+00,8.59E-01
3.62E-01,3.59E+00,8.43E-01
3.64E-01,3.59E+00,8.28E-01
3.66E-01,3.58E+00,8.14E-01
3.68E-01,3.58E+00,8.01E-01
3.70E-01,3.57E+00,7.90E-01
3.72E-01,3.57E+00,7.80E-01
3.74E-01,3.56E+00,7.71E-01
3.76E-01,3.56E+00,7.62E-01
3.78E-01,3.56E+00,7.54E-01
3.80E-01,3.55E+00,7.47E-01
3.82E-01,3.55E+00,7.39E-01
3.84E-01,3.54E+00,7.32E-01
3.86E-01,3.54E+00,7.25E-01
3.88E-01,3.54E+00,7.18E-01
3.90E-01,3.54E+00,7.11E-01
3.92E-01,3.53E+00,7.04E-01
3.94E-01,3.53E+00,6.98E-01
3.96E-01,3.53E+00,6.92E-01
3.98E-01,3.53E+00,6.85E-01
4.00E-01,3.52E+00,6.79E-01
4.02E-01,3.52E+00,6.73E-01
4.04E-01,3.52E+00,6.67E-01
4.06E-01,3.52E+00,6.61E-01
4.08E-01,3.52E+00,6.55E-01
4.10E-01,3.51E+00,6.49E-01
4.12E-01,3.51E+00,6.44E-01
4.14E-01,3.51E+00,6.38E-01
4.16E-01,3.51E+00,6.33E-01
4.18E-01,3.51E+00,6.27E-01
4.20E-01,3.50E+00,6.22E-01
4.22E-01,3.50E+00,6.17E-01
4.24E-01,3.50E+00,6.12E-01
4.26E-01,3.50E+00,6.08E-01
4.28E-01,3.50E+00,6.03E-01
4.30E-01,3.50E+00,5.98E-01
4.32E-01,3.50E+00,5.93E-01
4.34E-01,3.49E+00,5.88E-01
4.36E-01,3.49E+00,5.83E-01
4.38E-01,3.49E+00,5.79E-01
4.40E-01,3.49E+00,5.74E-01
4.42E-01,3.49E+00,5.70E-01
4.44E-01,3.49E+00,5.65E-01
4.46E-01,3.49E+00,5.60E-01
4.48E-01,3.49E+00,5.56E-01
4.50E-01,3.48E+00,5.52E-01
4.52E-01,3.48E+00,5.47E-01
4.54E-01,3.48E+00,5.43E-01
4.56E-01,3.48E+00,5.39E-01
4.58E-01,3.48E+00,5.35E-01
4.60E-01,3.48E+00,5.31E-01
4.62E-01,3.48E+00,5.27E-01
4.64E-01,3.48E+00,5.23E-01
4.66E-01,3.48E+00,5.19E-01
4.68E-01,3.47E+00,5.15E-01
4.70E-01,3.47E+00,5.10E-01
4.72E-01,3.47E+00,5.06E-01
4.74E-01,3.47E+00,5.02E-01
4.76E-01,3.47E+00,4.98E-01
4.78E-01,3.47E+00,4.94E-01
4.80E-01,3.47E+00,4.90E-01
4.82E-01,3.47E+00,4.86E-01
4.84E-01,3.47E+00,4.82E-01
4.86E-01,3.47E+00,4.78E-01
4.88E-01,3.46E+00,4.74E-01
4.90E-01,3.46E+00,4.70E-01
4.92E-01,3.46E+00,4.67E-01
4.94E-01,3.46E+00,4.63E-01
4.96E-01,3.46E+00,4.59E-01
4.98E-01,3.46E+00,4.56E-01
5.00E-01,3.46E+00,4.52E-01
5.02E-01,3.46E+00,4.49E-01
5.04E-01,3.46E+00,4.45E-01
5.06E-01,3.46E+00,4.42E-01
5.08E-01,3.45E+00,4.38E-01
5.10E-01,3.45E+00,4.35E-01
5.12E-01,3.45E+00,4.31E-01
5.14E-01,3.45E+00,4.28E-01
5.16E-01,3.45E+00,4.25E-01
5.18E-01,3.45E+00,4.21E-01
5.20E-01,3.45E+00,4.18E-01
5.22E-01,3.45E+00,4.15E-01
5.24E-01,3.45E+00,4.11E-01
5.26E-01,3.44E+00,4.08E-01
5.28E-01,3.44E+00,4.05E-01
5.30E-01,3.44E+00,4.02E-01
5.32E-01,3.44E+00,3.99E-01
5.34E-01,3.44E+00,3.96E-01
5.36E-01,3.44E+00,3.93E-01
5.38E-01,3.44E+00,3.90E-01
5.40E-01,3.44E+00,3.87E-01
5.42E-01,3.44E+00,3.84E-01
5.44E-01,3.44E+00,3.81E-01
5.46E-01,3.43E+00,3.78E-01
5.48E-01,3.43E+00,3.75E-01
5.50E-01,3.43E+00,3.72E-01
5.52E-01,3.43E+00,3.70E-01
5.54E-01,3.43E+00,3.67E-01
5.56E-01,3.43E+00,3.64E-01
5.58E-01,3.43E+00,3.61E-01
5.60E-01,3.43E+00,3.59E-01
5.62E-01,3.43E+00,3.56E-01
5.64E-01,3.42E+00,3.53E-01
5.66E-01,3.42E+00,3.51E-01
5.68E-01,3.42E+00,3.48E-01
5.70E-01,3.42E+00,3.45E-01
5.72E-01,3.42E+00,3.43E-01
5.74E-01,3.42E+00,3.40E-01
5.76E-01,3.42E+00,3.38E-01
5.78E-01,3.42E+00,3.35E-01
5.80E-01,3.42E+00,3.33E-01
5.82E-01,3.42E+00,3.30E-01
5.84E-01,3.41E+00,3.28E-01
5.86E-01,3.41E+00,3.26E-01
5.88E-01,3.41E+00,3.23E-01
5.90E-01,3.41E+00,3.21E-01
5.92E-01,3.41E+00,3.19E-01
5.94E-01,3.41E+00,3.16E-01
5.96E-01,3.41E+00,3.14E-01
5.98E-01,3.41E+00,3.12E-01
6.00E-01,3.41E+00,3.09E-01
6.02E-01,3.41E+00,3.07E-01
6.04E-01,3.40E+00,3.05E-01
6.06E-01,3.40E+00,3.02E-01
6.08E-01,3.40E+00,3.00E-01
6.10E-01,3.40E+00,2.98E-01
6.12E-01,3.40E+00,2.96E-01
6.14E-01,3.40E+00,2.94E-01
6.16E-01,3.40E+00,2.92E-01
6.18E-01,3.40E+00,2.90E-01
6.20E-01,3.40E+00,2.88E-01
6.22E-01,3.40E+00,2.85E-01
6.24E-01,3.39E+00,2.83E-01
6.26E-01,3.39E+00,2.81E-01
6.28E-01,3.39E+00,2.79E-01
6.30E-01,3.39E+00,2.77E-01
6.32E-01,3.39E+00,2.75E-01
6.34E-01,3.39E+00,2.73E-01
6.36E-01,3.39E+00,2.71E-01
6.38E-01,3.39E+00,2.69E-01
6.40E-01,3.39E+00,2.67E-01
6.42E-01,3.38E+00,2.66E-01
6.44E-01,3.38E+00,2.64E-01
6.46E-01,3.38E+00,2.62E-01
6.48E-01,3.38E+00,2.61E-01
6.50E-01,3.38E+00,2.59E-01
6.52E-01,3.38E+00,2.57E-01
6.54E-01,3.38E+00,2.55E-01
6.56E-01,3.38E+00,2.53E-01
6.58E-01,3.38E+00,2.51E-01
6.60E-01,3.38E+00,2.50E-01
6.62E-01,3.38E+00,2.48E-01
6.64E-01,3.37E+00,2.46E-01
6.66E-01,3.37E+00,2.45E-01
6.68E-01,3.37E+00,2.43E-01
6.70E-01,3.37E+00,2.42E-01
6.72E-01,3.37E+00,2.40E-01
6.74E-01,3.37E+00,2.39E-01
