wl,n,k
0.3,1.50029,1.30E-04
3.02E-01,1.50E+00,1.30E-04
3.04E-01,1.50E+00,1.30E-04
3.06E-01,1.50E+00,1.28E-04
3.08E-01,1.50E+00,1.24E-04
3.10E-01,1.50E+00,1.20E-04
3.12E-01,1.50E+00,1.16E-04
3.14E-01,1.50E+00,1.12E-04
3.16E-01,1.50E+00,1.10E-04
3.18E-01,1.50E+00,1.10E-04
3.20E-01,1.50E+00,1.10E-04
3.22E-01,1.50E+00,1.06E-04
3.24E-01,1.49E+00,1.02E-04
3.26E-01,1.49E+00,8.00E-05
3.28E-01,1.49E+00,4.00E-05
3.30E-01,1.49E+00,0.00E+00
3.32E-01,1.49E+00,0.00E+00
3.34E-01,1.49E+00,0.00E+00
3.36E-01,1.49E+00,0.00E+00
3.38E-01,1.49E+00,0.00E+00
3.40E-01,1.49E+00,0.00E+00
3.42E-01,1.49E+00,0.00E+00
3.44E-01,1.49E+00,0.00E+00
3.46E-01,1.49E+00,0.00E+00
3.48E-01,1.49E+00,0.00E+00
3.50E-01,1.49E+00,0.00E+00
3.52E-01,1.49E+00,0.00E+00
3.54E-01,1.49E+00,0.00E+00
3.56E-01,1.49E+00,0.00E+00
3.58E-01,1.49E+00,0.00E+00
3.60E-01,1.49E+00,0.00E+00
3.62E-01,1.49E+00,0.00E+00
3.64E-01,1.49E+00,0.00E+00
3.66E-01,1.49E+00,0.00E+00
3.68E-01,1.49E+00,0.00E+00
3.70E-01,1.49E+00,0.00E+00
3.72E-01,1.49E+00,0.00E+00
3.74E-01,1.49E+00,0.00E+00
3.76E-01,1.49E+00,0.00E+00
3.78E-01,1.49E+00,0.00E+00
3.80E-01,1.49E+00,0.00E+00
3.82E-01,1.49E+00,0.00E+00
3.84E-01,1.49E+00,0.00E+00
3.86E-01,1.49E+00,0.00E+00
3.88E-01,1.49E+00,0.00E+00
3.90E-01,1.49E+00,0.00E+00
3.92E-01,1.48E+00,0.00E+00
3.94E-01,1.48E+00,0.00E+00
3.96E-01,1.48E+00,0.00E+00
3.98E-01,1.48E+00,0.00E+00
