wl,n,k
0.3,3.32554,0.89179
3.02E-01,3.33E+00,8.47E-01
3.04E-01,3.34E+00,8.04E-01
3.06E-01,3.34E+00,7.61E-01
3.08E-01,3.35E+00,7.18E-01
3.10E-01,3.35E+00,6.77E-01
3.12E-01,3.35E+00,6.35E-01
3.14E-01,3.35E+00,5.94E-01
3.16E-01,3.34E+00,5.52E-01
3.18E-01,3.34E+00,5.11E-01
3.20E-01,3.33E+00,4.71E-01
3.22E-01,3.32E+00,4.31E-01
3.24E-01,3.31E+00,3.92E-01
3.26E-01,3.29E+00,3.55E-01
3.28E-01,3.27E+00,3.20E-01
3.30E-01,3.25E+00,2.86E-01
3.32E-01,3.23E+00,2.55E-01
3.34E-01,3.21E+00,2.26E-01
3.36E-01,3.19E+00,1.99E-01
3.38E-01,3.17E+00,1.74E-01
3.40E-01,3.14E+00,1.52E-01
3.42E-01,3.12E+00,1.32E-01
3.44E-01,3.10E+00,1.15E-01
3.46E-01,3.07E+00,9.86E-02
3.48E-01,3.05E+00,8.44E-02
3.50E-01,3.03E+00,7.19E-02
3.52E-01,3.01E+00,6.09E-02
3.54E-01,2.98E+00,5.12E-02
3.56E-01,2.96E+00,4.29E-02
3.58E-01,2.94E+00,3.56E-02
3.60E-01,2.92E+00,2.94E-02
3.62E-01,2.91E+00,2.41E-02
3.64E-01,2.89E+00,1.97E-02
3.66E-01,2.87E+00,1.61E-02
3.68E-01,2.85E+00,1.31E-02
3.70E-01,2.84E+00,1.07E-02
3.72E-01,2.82E+00,8.74E-03
3.74E-01,2.81E+00,7.17E-03
3.76E-01,2.80E+00,5.89E-03
3.78E-01,2.79E+00,4.84E-03
3.80E-01,2.77E+00,3.99E-03
3.82E-01,2.76E+00,3.31E-03
3.84E-01,2.75E+00,2.74E-03
3.86E-01,2.74E+00,2.28E-03
3.88E-01,2.73E+00,1.90E-03
3.90E-01,2.72E+00,1.58E-03
3.92E-01,2.71E+00,1.32E-03
3.94E-01,2.70E+00,1.10E-03
3.96E-01,2.70E+00,9.21E-04
3.98E-01,2.69E+00,7.71E-04
4.00E-01,2.68E+00,6.49E-04
4.02E-01,2.67E+00,5.48E-04
4.04E-01,2.67E+00,4.62E-04
4.06E-01,2.66E+00,3.91E-04
4.08E-01,2.65E+00,3.30E-04
4.10E-01,2.65E+00,2.80E-04
4.12E-01,2.64E+00,2.37E-04
4.14E-01,2.63E+00,2.02E-04
4.16E-01,2.63E+00,1.72E-04
4.18E-01,2.62E+00,1.47E-04
4.20E-01,2.62E+00,1.25E-04
4.22E-01,2.61E+00,1.07E-04
4.24E-01,2.61E+00,9.15E-05
4.26E-01,2.60E+00,7.87E-05
4.28E-01,2.60E+00,6.77E-05
4.30E-01,2.59E+00,5.83E-05
4.32E-01,2.59E+00,5.02E-05
4.34E-01,2.58E+00,4.32E-05
4.36E-01,2.58E+00,3.74E-05
4.38E-01,2.57E+00,3.24E-05
4.40E-01,2.57E+00,2.81E-05
4.42E-01,2.57E+00,2.43E-05
4.44E-01,2.56E+00,2.10E-05
4.46E-01,2.56E+00,1.84E-05
4.48E-01,2.56E+00,1.60E-05
4.50E-01,2.55E+00,1.40E-05
4.52E-01,2.55E+00,1.22E-05
4.54E-01,2.54E+00,1.06E-05
4.56E-01,2.54E+00,9.33E-06
4.58E-01,2.54E+00,8.17E-06
4.60E-01,2.53E+00,7.15E-06
4.62E-01,2.53E+00,6.28E-06
4.64E-01,2.53E+00,5.53E-06
4.66E-01,2.52E+00,4.87E-06
4.68E-01,2.52E+00,4.29E-06
4.70E-01,2.52E+00,3.78E-06
4.72E-01,2.52E+00,3.34E-06
4.74E-01,2.51E+00,2.96E-06
4.76E-01,2.51E+00,2.62E-06
4.78E-01,2.51E+00,2.32E-06
4.80E-01,2.50E+00,2.06E-06
4.82E-01,2.50E+00,1.83E-06
4.84E-01,2.50E+00,1.62E-06
4.86E-01,2.50E+00,1.44E-06
4.88E-01,2.49E+00,1.28E-06
4.90E-01,2.49E+00,1.14E-06
4.92E-01,2.49E+00,1.02E-06
4.94E-01,2.49E+00,9.12E-07
4.96E-01,2.49E+00,8.15E-07
4.98E-01,2.48E+00,7.27E-07
5.00E-01,2.48E+00,6.53E-07
5.02E-01,2.48E+00,5.85E-07
5.04E-01,2.48E+00,5.24E-07
5.06E-01,2.47E+00,4.71E-07
5.08E-01,2.47E+00,4.23E-07
5.10E-01,2.47E+00,3.80E-07
5.12E-01,2.47E+00,3.42E-07
5.14E-01,2.47E+00,3.09E-07
5.16E-01,2.46E+00,2.78E-07
5.18E-01,2.46E+00,2.51E-07
5.20E-01,2.46E+00,2.27E-07
5.22E-01,2.46E+00,2.05E-07
5.24E-01,2.46E+00,1.86E-07
5.26E-01,2.46E+00,1.69E-07
5.28E-01,2.45E+00,1.52E-07
5.30E-01,2.45E+00,1.38E-07
5.32E-01,2.45E+00,1.25E-07
5.34E-01,2.45E+00,1.14E-07
5.36E-01,2.45E+00,1.03E-07
5.38E-01,2.45E+00,9.40E-08
5.40E-01,2.44E+00,8.53E-08
5.42E-01,2.44E+00,7.79E-08
5.44E-01,2.44E+00,7.10E-08
5.46E-01,2.44E+00,6.46E-08
5.48E-01,2.44E+00,5.91E-08
5.50E-01,2.44E+00,5.39E-08
5.52E-01,2.43E+00,4.93E-08
5.54E-01,2.43E+00,4.51E-08
5.56E-01,2.43E+00,4.12E-08
5.58E-01,2.43E+00,3.77E-08
5.60E-01,2.43E+00,3.46E-08
5.62E-01,2.43E+00,3.17E-08
5.64E-01,2.43E+00,2.91E-08
5.66E-01,2.42E+00,2.67E-08
5.68E-01,2.42E+00,2.45E-08
5.70E-01,2.42E+00,2.25E-08
5.72E-01,2.42E+00,2.06E-08
5.74E-01,2.42E+00,1.91E-08
5.76E-01,2.42E+00,1.76E-08
5.78E-01,2.42E+00,1.62E-08
5.80E-01,2.42E+00,1.49E-08
5.82E-01,2.41E+00,1.37E-08
5.84E-01,2.41E+00,1.27E-08
5.86E-01,2.41E+00,1.17E-08
5.88E-01,2.41E+00,1.08E-08
5.90E-01,2.41E+00,9.98E-09
5.92E-01,2.41E+00,9.22E-09
5.94E-01,2.41E+00,8.54E-09
5.96E-01,2.41E+00,7.90E-09
5.98E-01,2.41E+00,7.31E-09
6.00E-01,2.40E+00,6.78E-09
6.02E-01,2.40E+00,6.27E-09
6.04E-01,2.40E+00,5.83E-09
6.06E-01,2.40E+00,5.39E-09
6.08E-01,2.40E+00,5.01E-09
6.10E-01,2.40E+00,4.65E-09
6.12E-01,2.40E+00,4.32E-09
6.14E-01,2.40E+00,4.01E-09
6.16E-01,2.40E+00,3.72E-09
6.18E-01,2.40E+00,3.47E-09
6.20E-01,2.40E+00,3.22E-09
6.22E-01,2.39E+00,3.00E-09
6.24E-01,2.39E+00,2.79E-09
6.26E-01,2.39E+00,2.60E-09
6.28E-01,2.39E+00,2.42E-09
6.30E-01,2.39E+00,2.25E-09
6.32E-01,2.39E+00,2.10E-09
6.34E-01,2.39E+00,1.96E-09
6.36E-01,2.39E+00,1.83E-09
6.38E-01,2.39E+00,1.70E-09
6.40E-01,2.39E+00,1.59E-09
6.42E-01,2.39E+00,1.48E-09
6.44E-01,2.38E+00,1.38E-09
6.46E-01,2.38E+00,1.28E-09
6.48E-01,2.38E+00,1.20E-09
6.50E-01,2.38E+00,1.12E-09
6.52E-01,2.38E+00,1.04E-09
6.54E-01,2.38E+00,9.73E-10
6.56E-01,2.38E+00,9.08E-10
6.58E-01,2.38E+00,8.47E-10
6.60E-01,2.38E+00,7.89E-10
6.62E-01,2.38E+00,7.36E-10
6.64E-01,2.38E+00,6.86E-10
6.66E-01,2.38E+00,6.40E-10
6.68E-01,2.38E+00,5.95E-10
6.70E-01,2.37E+00,5.55E-10
6.72E-01,2.37E+00,5.15E-10
6.74E-01,2.37E+00,4.81E-10
6.76E-01,2.37E+00,4.46E-10
6.78E-01,2.37E+00,4.16E-10
6.80E-01,2.37E+00,3.85E-10
6.82E-01,2.37E+00,3.58E-10
6.84E-01,2.37E+00,3.31E-10
6.86E-01,2.37E+00,3.06E-10
6.88E-01,2.37E+00,2.83E-10
6.90E-01,2.37E+00,2.62E-10
6.92E-01,2.37E+00,2.41E-10
6.94E-01,2.37E+00,2.22E-10
6.96E-01,2.37E+00,2.03E-10
6.98E-01,2.37E+00,1.86E-10
7.00E-01,2.37E+00,1.70E-10
7.02E-01,2.36E+00,1.55E-10
7.04E-01,2.36E+00,1.40E-10
7.06E-01,2.36E+00,1.27E-10
7.08E-01,2.36E+00,1.14E-10
7.10E-01,2.36E+00,1.02E-10
7.12E-01,2.36E+00,9.02E-11
7.14E-01,2.36E+00,7.96E-11
7.16E-01,2.36E+00,6.90E-11
7.18E-01,2.36E+00,5.95E-11
7.20E-01,2.36E+00,4.99E-11
7.22E-01,2.36E+00,4.14E-11
7.24E-01,2.36E+00,3.29E-11
7.26E-01,2.36E+00,2.52E-11
7.28E-01,2.36E+00,1.75E-11
7.30E-01,2.36E+00,1.05E-11
7.32E-01,2.36E+00,3.65E-12
7.34E-01,2.36E+00,1.16E-12
7.36E-01,2.36E+00,3.25E-13
7.38E-01,2.35E+00,0.00E+00
7.40E-01,2.35E+00,0.00E+00
7.42E-01,2.35E+00,0.00E+00
0.744,2.35338,0.00E+00
0.746,2.35289,0.00E+00
0.748,2.35241,0.00E+00
0.75,2.35193,0.00E+00
0.752,2.35146,0.00E+00
0.754,2.35099,0.00E+00
0.756,2.35052,0.00E+00
0.758,2.35006,0.00E+00
0.76,2.34961,0.00E+00
0.762,2.34915,0.00E+00
0.764,2.3487,0.00E+00
0.766,2.34826,0.00E+00
0.768,2.34782,0.00E+00
0.77,2.34738,0.00E+00
0.772,2.34694,0.00E+00
0.774,2.34651,0.00E+00
0.776,2.34609,0.00E+00
0.778,2.34566,0.00E+00
0.78,2.34524,0.00E+00
0.782,2.34483,0.00E+00
0.784,2.34441,0.00E+00
0.786,2.34401,0.00E+00
0.788,2.3436,0.00E+00
0.79,2.3432,0.00E+00
0.792,2.3428,0.00E+00
0.794,2.3424,0.00E+00
0.796,2.34201,0.00E+00
0.798,2.34162,0.00E+00
0.8,2.34123,0.00E+00
0.802,2.34085,0.00E+00
0.804,2.34047,0.00E+00
0.806,2.34009,0.00E+00
0.808,2.33971,0.00E+00
0.81,2.33934,0.00E+00
0.812,2.33897,0.00E+00
0.814,2.33861,0.00E+00
0.816,2.33824,0.00E+00
0.818,2.33788,0.00E+00
0.82,2.33753,0.00E+00
0.822,2.33717,0.00E+00
0.824,2.33682,0.00E+00
0.826,2.33647,0.00E+00
0.828,2.33612,0.00E+00
0.83,2.33578,0.00E+00
0.832,2.33544,0.00E+00
0.834,2.3351,0.00E+00
0.836,2.33476,0.00E+00
0.838,2.33443,0.00E+00
0.84,2.33409,0.00E+00
0.842,2.33376,0.00E+00
0.844,2.33344,0.00E+00
0.846,2.33311,0.00E+00
0.848,2.33279,0.00E+00
0.85,2.33247,0.00E+00
0.852,2.33215,0.00E+00
0.854,2.33184,0.00E+00
0.856,2.33153,0.00E+00
0.858,2.33122,0.00E+00
0.86,2.33091,0.00E+00
0.862,2.3306,0.00E+00
0.864,2.3303,0.00E+00
0.866,2.32999,0.00E+00
0.868,2.3297,0.00E+00
0.87,2.3294,0.00E+00
0.872,2.3291,0.00E+00
0.874,2.32881,0.00E+00
0.876,2.32852,0.00E+00
0.878,2.32823,0.00E+00
0.88,2.32794,0.00E+00
0.882,2.32765,0.00E+00
0.884,2.32737,0.00E+00
0.886,2.32709,0.00E+00
0.888,2.32681,0.00E+00
0.89,2.32653,0.00E+00
0.892,2.32625,0.00E+00
