wl,n,k
0.3,1.469,0.005
3.02E-01,1.47E+00,5.18E-03
3.04E-01,1.47E+00,5.41E-03
3.06E-01,1.47E+00,5.65E-03
3.08E-01,1.47E+00,5.86E-03
3.10E-01,1.48E+00,6.00E-03
3.12E-01,1.48E+00,6.04E-03
3.14E-01,1.48E+00,6.02E-03
3.16E-01,1.48E+00,5.97E-03
3.18E-01,1.48E+00,5.95E-03
3.20E-01,1.49E+00,6.00E-03
3.22E-01,1.49E+00,6.15E-03
3.24E-01,1.49E+00,6.36E-03
3.26E-01,1.49E+00,6.61E-03
3.28E-01,1.50E+00,6.83E-03
3.30E-01,1.50E+00,7.00E-03
3.32E-01,1.50E+00,7.07E-03
3.34E-01,1.50E+00,7.08E-03
3.36E-01,1.50E+00,7.04E-03
3.38E-01,1.51E+00,7.01E-03
3.40E-01,1.51E+00,7.00E-03
3.42E-01,1.51E+00,7.05E-03
3.44E-01,1.51E+00,7.18E-03
3.46E-01,1.52E+00,7.37E-03
3.48E-01,1.52E+00,7.65E-03
3.50E-01,1.52E+00,8.00E-03
3.52E-01,1.53E+00,8.43E-03
3.54E-01,1.54E+00,8.90E-03
3.56E-01,1.54E+00,9.35E-03
3.58E-01,1.55E+00,9.73E-03
3.60E-01,1.57E+00,1.00E-02
3.62E-01,1.58E+00,1.01E-02
3.64E-01,1.59E+00,1.01E-02
3.66E-01,1.61E+00,9.85E-03
3.68E-01,1.62E+00,9.50E-03
3.70E-01,1.63E+00,9.00E-03
3.72E-01,1.63E+00,8.38E-03
3.74E-01,1.63E+00,7.70E-03
3.76E-01,1.63E+00,7.02E-03
3.78E-01,1.62E+00,6.43E-03
3.80E-01,1.61E+00,6.00E-03
3.82E-01,1.61E+00,5.77E-03
3.84E-01,1.60E+00,5.72E-03
3.86E-01,1.59E+00,5.78E-03
3.88E-01,1.58E+00,5.89E-03
3.90E-01,1.57E+00,6.00E-03
3.92E-01,1.57E+00,6.06E-03
3.94E-01,1.56E+00,6.08E-03
3.96E-01,1.56E+00,6.06E-03
3.98E-01,1.56E+00,6.03E-03
4.00E-01,1.56E+00,6.00E-03
4.02E-01,1.56E+00,5.98E-03
4.04E-01,1.55E+00,5.97E-03
4.06E-01,1.55E+00,5.98E-03
4.08E-01,1.55E+00,5.99E-03
4.10E-01,1.55E+00,6.00E-03
4.12E-01,1.55E+00,6.02E-03
4.14E-01,1.55E+00,6.03E-03
4.16E-01,1.55E+00,6.03E-03
4.18E-01,1.55E+00,6.03E-03
4.20E-01,1.55E+00,6.00E-03
4.22E-01,1.55E+00,5.96E-03
4.24E-01,1.55E+00,5.91E-03
4.26E-01,1.55E+00,5.89E-03
4.28E-01,1.55E+00,5.91E-03
4.30E-01,1.55E+00,6.00E-03
4.32E-01,1.55E+00,6.17E-03
4.34E-01,1.55E+00,6.38E-03
4.36E-01,1.55E+00,6.62E-03
4.38E-01,1.55E+00,6.84E-03
4.40E-01,1.55E+00,7.00E-03
4.42E-01,1.55E+00,7.08E-03
4.44E-01,1.55E+00,7.10E-03
4.46E-01,1.55E+00,7.08E-03
4.48E-01,1.55E+00,7.04E-03
4.50E-01,1.55E+00,7.00E-03
4.52E-01,1.55E+00,6.99E-03
4.54E-01,1.55E+00,6.99E-03
4.56E-01,1.55E+00,7.01E-03
4.58E-01,1.55E+00,7.01E-03
4.60E-01,1.55E+00,7.00E-03
4.62E-01,1.55E+00,6.96E-03
4.64E-01,1.55E+00,6.92E-03
4.66E-01,1.55E+00,6.90E-03
4.68E-01,1.55E+00,6.92E-03
4.70E-01,1.55E+00,7.00E-03
4.72E-01,1.55E+00,7.16E-03
4.74E-01,1.55E+00,7.38E-03
4.76E-01,1.55E+00,7.62E-03
4.78E-01,1.56E+00,7.83E-03
4.80E-01,1.56E+00,8.00E-03
4.82E-01,1.56E+00,8.09E-03
4.84E-01,1.56E+00,8.11E-03
4.86E-01,1.56E+00,8.09E-03
4.88E-01,1.56E+00,8.04E-03
4.90E-01,1.56E+00,8.00E-03
4.92E-01,1.56E+00,7.97E-03
4.94E-01,1.56E+00,7.96E-03
4.96E-01,1.56E+00,7.97E-03
4.98E-01,1.56E+00,7.98E-03
5.00E-01,1.56E+00,8.00E-03
5.02E-01,1.56E+00,8.02E-03
5.04E-01,1.56E+00,8.03E-03
5.06E-01,1.56E+00,8.03E-03
5.08E-01,1.56E+00,8.03E-03
5.10E-01,1.56E+00,8.00E-03
5.12E-01,1.56E+00,7.96E-03
5.14E-01,1.56E+00,7.91E-03
5.16E-01,1.56E+00,7.89E-03
5.18E-01,1.56E+00,7.91E-03
5.20E-01,1.56E+00,8.00E-03
5.22E-01,1.56E+00,8.16E-03
5.24E-01,1.56E+00,8.38E-03
5.26E-01,1.56E+00,8.62E-03
5.28E-01,1.57E+00,8.83E-03
5.30E-01,1.57E+00,9.00E-03
5.32E-01,1.57E+00,9.09E-03
5.34E-01,1.57E+00,9.11E-03
5.36E-01,1.57E+00,9.09E-03
5.38E-01,1.57E+00,9.05E-03
5.40E-01,1.57E+00,9.00E-03
5.42E-01,1.57E+00,8.98E-03
5.44E-01,1.57E+00,8.97E-03
5.46E-01,1.57E+00,8.97E-03
5.48E-01,1.57E+00,8.98E-03
5.50E-01,1.57E+00,9.00E-03
5.52E-01,1.57E+00,9.02E-03
5.54E-01,1.57E+00,9.03E-03
5.56E-01,1.57E+00,9.03E-03
5.58E-01,1.57E+00,9.03E-03
5.60E-01,1.57E+00,9.00E-03
5.62E-01,1.57E+00,8.96E-03
5.64E-01,1.57E+00,8.91E-03
5.66E-01,1.57E+00,8.89E-03
5.68E-01,1.57E+00,8.91E-03
5.70E-01,1.57E+00,9.00E-03
5.72E-01,1.57E+00,9.17E-03
5.74E-01,1.57E+00,9.38E-03
5.76E-01,1.57E+00,9.62E-03
5.78E-01,1.57E+00,9.84E-03
5.80E-01,1.58E+00,1.00E-02
5.82E-01,1.58E+00,1.01E-02
5.84E-01,1.58E+00,1.01E-02
5.86E-01,1.58E+00,1.01E-02
5.88E-01,1.58E+00,1.00E-02
5.90E-01,1.58E+00,1.00E-02
5.92E-01,1.58E+00,9.98E-03
5.94E-01,1.58E+00,9.97E-03
5.96E-01,1.58E+00,9.98E-03
5.98E-01,1.58E+00,9.99E-03
6.00E-01,1.58E+00,1.00E-02
6.02E-01,1.58E+00,1.00E-02
6.04E-01,1.58E+00,1.00E-02
6.06E-01,1.58E+00,1.00E-02
6.08E-01,1.58E+00,1.00E-02
6.10E-01,1.58E+00,1.00E-02
6.12E-01,1.58E+00,1.00E-02
6.14E-01,1.58E+00,1.00E-02
6.16E-01,1.58E+00,1.00E-02
6.18E-01,1.58E+00,1.00E-02
6.20E-01,1.58E+00,1.00E-02
6.22E-01,1.58E+00,9.96E-03
6.24E-01,1.58E+00,9.92E-03
6.26E-01,1.58E+00,9.89E-03
6.28E-01,1.58E+00,9.91E-03
6.30E-01,1.58E+00,1.00E-02
6.32E-01,1.58E+00,1.02E-02
6.34E-01,1.58E+00,1.04E-02
6.36E-01,1.59E+00,1.06E-02
6.38E-01,1.59E+00,1.08E-02
6.40E-01,1.59E+00,1.10E-02
6.42E-01,1.59E+00,1.11E-02
6.44E-01,1.59E+00,1.11E-02
6.46E-01,1.59E+00,1.11E-02
6.48E-01,1.59E+00,1.10E-02
6.50E-01,1.59E+00,1.10E-02
6.52E-01,1.59E+00,1.10E-02
6.54E-01,1.59E+00,1.10E-02
6.56E-01,1.59E+00,1.10E-02
6.58E-01,1.59E+00,1.10E-02
6.60E-01,1.59E+00,1.10E-02
6.62E-01,1.59E+00,1.10E-02
6.64E-01,1.59E+00,1.10E-02
6.66E-01,1.59E+00,1.10E-02
6.68E-01,1.59E+00,1.10E-02
6.70E-01,1.59E+00,1.10E-02
6.72E-01,1.59E+00,1.10E-02
6.74E-01,1.59E+00,1.09E-02
6.76E-01,1.59E+00,1.09E-02
6.78E-01,1.59E+00,1.09E-02
6.80E-01,1.59E+00,1.10E-02
6.82E-01,1.59E+00,1.12E-02
6.84E-01,1.59E+00,1.14E-02
6.86E-01,1.59E+00,1.16E-02
6.88E-01,1.59E+00,1.18E-02
6.90E-01,1.59E+00,1.20E-02
6.92E-01,1.59E+00,1.21E-02
6.94E-01,1.59E+00,1.21E-02
6.96E-01,1.60E+00,1.21E-02
6.98E-01,1.60E+00,1.20E-02
7.00E-01,1.60E+00,1.20E-02
7.02E-01,1.60E+00,1.20E-02
7.04E-01,1.60E+00,1.20E-02
7.06E-01,1.60E+00,1.20E-02
7.08E-01,1.60E+00,1.20E-02
7.10E-01,1.60E+00,1.20E-02
7.12E-01,1.60E+00,1.20E-02
7.14E-01,1.60E+00,1.20E-02
7.16E-01,1.60E+00,1.20E-02
7.18E-01,1.60E+00,1.20E-02
7.20E-01,1.60E+00,1.20E-02
7.22E-01,1.60E+00,1.20E-02
7.24E-01,1.60E+00,1.19E-02
7.26E-01,1.60E+00,1.19E-02
7.28E-01,1.60E+00,1.19E-02
7.30E-01,1.60E+00,1.20E-02
7.32E-01,1.60E+00,1.22E-02
7.34E-01,1.60E+00,1.24E-02
7.36E-01,1.60E+00,1.26E-02
7.38E-01,1.60E+00,1.28E-02
7.40E-01,1.60E+00,1.30E-02
7.42E-01,1.60E+00,1.31E-02
0.744,1.6027,0.0131
0.746,1.60312,0.01308
0.748,1.60356,0.01304
0.75,1.604,0.013
0.752,1.60441,0.01299
0.754,1.60481,0.01299
0.756,1.6052,0.01301
0.758,1.60559,0.01301
0.76,1.606,0.013
0.762,1.60642,0.01296
0.764,1.60685,0.01292
0.766,1.60727,0.0129
0.768,1.60766,0.01292
0.77,1.608,0.013
0.772,1.60828,0.01316
0.774,1.60852,0.01338
0.776,1.60871,0.01362
0.778,1.60886,0.01383
0.78,1.609,0.014
0.782,1.60913,0.01409
0.784,1.60926,0.01411
0.786,1.60944,0.01409
0.788,1.60968,0.01404
0.79,1.61,0.014
0.792,1.61042,0.01397
0.794,1.61089,0.01397
0.796,1.61135,0.01397
0.798,1.61174,0.01398
0.8,1.612,0.014
0.802,1.61209,0.01402
0.804,1.61206,0.01403
0.806,1.61199,0.01403
0.808,1.61194,0.01403
0.81,1.612,0.014
0.812,1.61221,0.01396
0.814,1.61256,0.01391
0.816,1.613,0.01389
0.818,1.61349,0.01391
0.82,1.614,0.014
0.822,1.61449,0.01416
0.824,1.61494,0.01438
0.826,1.61535,0.01461
0.828,1.6157,0.01483
0.83,1.616,0.015
0.832,1.61623,0.0151
0.834,1.61643,0.01513
0.836,1.6166,0.01511
0.838,1.61678,0.01506
0.84,1.617,0.015
0.842,1.61727,0.01494
0.844,1.61761,0.01489
0.846,1.618,0.01487
0.848,1.61847,0.0149
0.85,1.619,0.015
0.852,1.6196,0.01517
0.854,1.62023,0.01538
0.856,1.62086,0.01562
0.858,1.62146,0.01583
0.86,1.622,0.016
0.862,1.62245,0.0161
0.864,1.62283,0.01613
0.866,1.6232,0.01611
0.868,1.62357,0.01606
0.87,1.624,0.016
0.872,1.62451,0.01594
0.874,1.62509,0.01589
0.876,1.62571,0.01587
0.878,1.62635,0.0159
0.88,1.627,0.016
0.882,1.62763,0.01617
0.884,1.62824,0.01639
0.886,1.62883,0.01662
0.888,1.62942,0.01684
0.89,1.63,0.017
0.892,1.63058,0.01709
0.894,1.63117,0.01711
0.896,1.63176,0.01709
0.898,1.63237,0.01704
0.9,1.633,0.017
0.902,1.63365,0.01697
0.904,1.63429,0.01697
0.906,1.63492,0.01697
0.908,1.63549,0.01698
0.91,1.636,0.017
0.912,1.63642,0.01702
0.914,1.63679,0.01703
0.916,1.63715,0.01703
0.918,1.63754,0.01703
0.92,1.638,0.017
0.922,1.63856,0.01696
0.924,1.63918,0.01691
0.926,1.63983,0.01689
0.928,1.64045,0.01691
0.93,1.641,0.017
0.932,1.64145,0.01717
0.934,1.64183,0.01738
0.936,1.64218,0.01762
0.938,1.64256,0.01784
0.94,1.643,0.018
0.942,1.64354,0.01809
0.944,1.64415,0.01811
0.946,1.64479,0.01808
0.948,1.64542,0.01804
0.95,1.646,0.018
0.952,1.64649,0.01798
0.954,1.64692,0.01797
0.956,1.64729,0.01798
0.958,1.64765,0.01799
0.96,1.648,0.018
0.962,1.64838,0.018
0.964,1.64877,0.018
0.966,1.64918,0.018
0.968,1.64959,0.018
0.97,1.65,0.018
0.972,1.65041,0.01801
0.974,1.65081,0.01802
0.976,1.6512,0.01803
0.978,1.6516,0.01802
0.98,1.652,0.018
0.982,1.6524,0.01796
0.984,1.65281,0.01792
0.986,1.65321,0.01789
0.988,1.65361,0.01791
0.99,1.654,0.018
0.992,1.65439,0.01816
0.994,1.65477,0.01838
0.996,1.65516,0.01862
