wl,n,k
0.3,2.774,0.357
3.02E-01,2.78E+00,3.51E-01
3.04E-01,2.78E+00,3.45E-01
3.06E-01,2.78E+00,3.40E-01
3.08E-01,2.78E+00,3.34E-01
3.10E-01,2.78E+00,3.28E-01
3.12E-01,2.78E+00,3.22E-01
3.14E-01,2.78E+00,3.16E-01
3.16E-01,2.78E+00,3.11E-01
3.18E-01,2.78E+00,3.05E-01
3.20E-01,2.78E+00,2.99E-01
3.22E-01,2.78E+00,2.88E-01
3.24E-01,2.79E+00,2.77E-01
3.26E-01,2.79E+00,2.66E-01
3.28E-01,2.79E+00,2.55E-01
3.30E-01,2.79E+00,2.45E-01
3.32E-01,2.79E+00,2.34E-01
3.34E-01,2.79E+00,2.23E-01
3.36E-01,2.79E+00,2.12E-01
3.38E-01,2.79E+00,2.01E-01
3.40E-01,2.79E+00,1.90E-01
3.42E-01,2.78E+00,1.76E-01
3.44E-01,2.77E+00,1.63E-01
3.46E-01,2.77E+00,1.49E-01
3.48E-01,2.76E+00,1.36E-01
3.50E-01,2.75E+00,1.22E-01
3.52E-01,2.74E+00,1.08E-01
3.54E-01,2.73E+00,9.48E-02
3.56E-01,2.73E+00,8.12E-02
3.58E-01,2.72E+00,6.76E-02
3.60E-01,2.71E+00,5.40E-02
3.62E-01,2.70E+00,5.01E-02
3.64E-01,2.69E+00,4.62E-02
3.66E-01,2.68E+00,4.23E-02
3.68E-01,2.67E+00,3.84E-02
3.70E-01,2.66E+00,3.45E-02
3.72E-01,2.65E+00,3.06E-02
3.74E-01,2.64E+00,2.67E-02
3.76E-01,2.63E+00,2.28E-02
3.78E-01,2.62E+00,1.89E-02
3.80E-01,2.62E+00,1.50E-02
3.82E-01,2.61E+00,1.43E-02
3.84E-01,2.60E+00,1.36E-02
3.86E-01,2.60E+00,1.29E-02
3.88E-01,2.59E+00,1.22E-02
3.90E-01,2.58E+00,1.15E-02
3.92E-01,2.58E+00,1.08E-02
3.94E-01,2.57E+00,1.01E-02
3.96E-01,2.56E+00,9.40E-03
3.98E-01,2.56E+00,8.70E-03
4.00E-01,2.55E+00,8.00E-03
4.02E-01,2.55E+00,7.60E-03
4.04E-01,2.54E+00,7.20E-03
4.06E-01,2.54E+00,6.80E-03
4.08E-01,2.53E+00,6.40E-03
4.10E-01,2.53E+00,6.00E-03
4.12E-01,2.52E+00,5.60E-03
4.14E-01,2.52E+00,5.20E-03
4.16E-01,2.52E+00,4.80E-03
4.18E-01,2.51E+00,4.40E-03
4.20E-01,2.51E+00,4.00E-03
4.22E-01,2.50E+00,3.90E-03
4.24E-01,2.50E+00,3.80E-03
4.26E-01,2.50E+00,3.70E-03
4.28E-01,2.49E+00,3.60E-03
4.30E-01,2.49E+00,3.50E-03
4.32E-01,2.49E+00,3.40E-03
4.34E-01,2.48E+00,3.30E-03
4.36E-01,2.48E+00,3.20E-03
4.38E-01,2.48E+00,3.10E-03
4.40E-01,2.48E+00,3.00E-03
4.42E-01,2.47E+00,3.00E-03
4.44E-01,2.47E+00,3.00E-03
4.46E-01,2.47E+00,3.00E-03
4.48E-01,2.47E+00,3.00E-03
4.50E-01,2.46E+00,3.00E-03
4.52E-01,2.46E+00,3.00E-03
4.54E-01,2.46E+00,3.00E-03
4.56E-01,2.46E+00,3.00E-03
4.58E-01,2.45E+00,3.00E-03
4.60E-01,2.45E+00,3.00E-03
4.62E-01,2.45E+00,2.80E-03
4.64E-01,2.45E+00,2.60E-03
4.66E-01,2.44E+00,2.40E-03
4.68E-01,2.44E+00,2.20E-03
4.70E-01,2.44E+00,2.00E-03
4.72E-01,2.44E+00,1.80E-03
4.74E-01,2.44E+00,1.60E-03
4.76E-01,2.43E+00,1.40E-03
4.78E-01,2.43E+00,1.20E-03
4.80E-01,2.43E+00,1.00E-03
4.82E-01,2.43E+00,1.20E-03
4.84E-01,2.43E+00,1.40E-03
4.86E-01,2.43E+00,1.60E-03
4.88E-01,2.42E+00,1.80E-03
4.90E-01,2.42E+00,2.00E-03
4.92E-01,2.42E+00,2.20E-03
4.94E-01,2.42E+00,2.40E-03
4.96E-01,2.42E+00,2.60E-03
4.98E-01,2.42E+00,2.80E-03
5.00E-01,2.42E+00,3.00E-03
5.02E-01,2.41E+00,2.70E-03
5.04E-01,2.41E+00,2.40E-03
5.06E-01,2.41E+00,2.10E-03
5.08E-01,2.41E+00,1.80E-03
5.10E-01,2.41E+00,1.50E-03
5.12E-01,2.40E+00,1.20E-03
5.14E-01,2.40E+00,9.00E-04
5.16E-01,2.40E+00,6.00E-04
5.18E-01,2.40E+00,3.00E-04
5.20E-01,2.40E+00,0.00E+00
5.22E-01,2.40E+00,0.00E+00
5.24E-01,2.39E+00,0.00E+00
5.26E-01,2.39E+00,0.00E+00
5.28E-01,2.39E+00,0.00E+00
5.30E-01,2.39E+00,0.00E+00
5.32E-01,2.39E+00,0.00E+00
5.34E-01,2.39E+00,0.00E+00
5.36E-01,2.39E+00,0.00E+00
5.38E-01,2.39E+00,0.00E+00
5.40E-01,2.38E+00,1.11E-17
5.42E-01,2.38E+00,1.00E-04
5.44E-01,2.38E+00,2.00E-04
5.46E-01,2.38E+00,3.00E-04
5.48E-01,2.38E+00,4.00E-04
5.50E-01,2.38E+00,5.00E-04
5.52E-01,2.38E+00,6.00E-04
5.54E-01,2.38E+00,7.00E-04
5.56E-01,2.38E+00,8.00E-04
5.58E-01,2.37E+00,9.00E-04
5.60E-01,2.37E+00,1.00E-03
5.62E-01,2.37E+00,1.00E-03
5.64E-01,2.37E+00,1.00E-03
5.66E-01,2.37E+00,1.00E-03
5.68E-01,2.37E+00,1.00E-03
5.70E-01,2.37E+00,1.00E-03
5.72E-01,2.37E+00,1.00E-03
5.74E-01,2.37E+00,1.00E-03
5.76E-01,2.37E+00,1.00E-03
5.78E-01,2.36E+00,1.00E-03
5.80E-01,2.36E+00,1.00E-03
5.82E-01,2.36E+00,1.10E-03
5.84E-01,2.36E+00,1.20E-03
5.86E-01,2.36E+00,1.30E-03
5.88E-01,2.36E+00,1.40E-03
5.90E-01,2.36E+00,1.50E-03
5.92E-01,2.36E+00,1.60E-03
5.94E-01,2.36E+00,1.70E-03
5.96E-01,2.36E+00,1.80E-03
5.98E-01,2.36E+00,1.90E-03
6.00E-01,2.36E+00,2.00E-03
6.02E-01,2.35E+00,2.00E-03
6.04E-01,2.35E+00,2.00E-03
6.06E-01,2.35E+00,2.00E-03
6.08E-01,2.35E+00,2.00E-03
6.10E-01,2.35E+00,2.00E-03
6.12E-01,2.35E+00,2.00E-03
6.14E-01,2.35E+00,2.00E-03
6.16E-01,2.35E+00,2.00E-03
6.18E-01,2.35E+00,2.00E-03
6.20E-01,2.35E+00,2.00E-03
6.22E-01,2.35E+00,2.00E-03
6.24E-01,2.35E+00,2.00E-03
6.26E-01,2.35E+00,2.00E-03
6.28E-01,2.35E+00,2.00E-03
6.30E-01,2.34E+00,2.00E-03
6.32E-01,2.34E+00,2.00E-03
6.34E-01,2.34E+00,2.00E-03
6.36E-01,2.34E+00,2.00E-03
6.38E-01,2.34E+00,2.00E-03
6.40E-01,2.34E+00,2.00E-03
6.42E-01,2.34E+00,2.30E-03
6.44E-01,2.34E+00,2.60E-03
6.46E-01,2.34E+00,2.90E-03
6.48E-01,2.34E+00,3.20E-03
6.50E-01,2.34E+00,3.50E-03
6.52E-01,2.34E+00,3.80E-03
6.54E-01,2.34E+00,4.10E-03
6.56E-01,2.34E+00,4.40E-03
6.58E-01,2.34E+00,4.70E-03
6.60E-01,2.34E+00,5.00E-03
6.62E-01,2.33E+00,5.00E-03
6.64E-01,2.33E+00,5.00E-03
6.66E-01,2.33E+00,5.00E-03
6.68E-01,2.33E+00,5.00E-03
6.70E-01,2.33E+00,5.00E-03
6.72E-01,2.33E+00,5.00E-03
6.74E-01,2.33E+00,5.00E-03
6.76E-01,2.33E+00,5.00E-03
6.78E-01,2.33E+00,5.00E-03
6.80E-01,2.33E+00,5.00E-03
6.82E-01,2.33E+00,5.10E-03
6.84E-01,2.33E+00,5.20E-03
6.86E-01,2.33E+00,5.30E-03
6.88E-01,2.33E+00,5.40E-03
6.90E-01,2.33E+00,5.50E-03
6.92E-01,2.33E+00,5.60E-03
6.94E-01,2.33E+00,5.70E-03
6.96E-01,2.33E+00,5.80E-03
6.98E-01,2.33E+00,5.90E-03
7.00E-01,2.33E+00,6.00E-03
7.02E-01,2.33E+00,6.00E-03
7.04E-01,2.33E+00,6.00E-03
7.06E-01,2.33E+00,6.00E-03
7.08E-01,2.33E+00,6.00E-03
7.10E-01,2.32E+00,6.00E-03
7.12E-01,2.32E+00,6.00E-03
7.14E-01,2.32E+00,6.00E-03
7.16E-01,2.32E+00,6.00E-03
7.18E-01,2.32E+00,6.00E-03
7.20E-01,2.32E+00,6.00E-03
7.22E-01,2.32E+00,6.10E-03
7.24E-01,2.32E+00,6.20E-03
7.26E-01,2.32E+00,6.30E-03
7.28E-01,2.32E+00,6.40E-03
7.30E-01,2.32E+00,6.50E-03
7.32E-01,2.32E+00,6.60E-03
7.34E-01,2.32E+00,6.70E-03
7.36E-01,2.32E+00,6.80E-03
7.38E-01,2.32E+00,6.90E-03
7.40E-01,2.32E+00,7.00E-03
7.42E-01,2.32E+00,7.00E-03
0.744,2.3184,0.007
0.746,2.3181,0.007
0.748,2.3178,0.007
0.75,2.3175,0.007
0.752,2.3172,0.007
0.754,2.3169,0.007
0.756,2.3166,0.007
0.758,2.3163,0.007
0.76,2.316,0.007
0.762,2.3157,0.0071
0.764,2.3154,0.0072
0.766,2.3151,0.0073
0.768,2.3148,0.0074
0.77,2.3145,0.0075
0.772,2.3142,0.0076
0.774,2.3139,0.0077
0.776,2.3136,0.0078
0.778,2.3133,0.0079
0.78,2.313,0.008
0.782,2.3127,0.0081
0.784,2.3124,0.0082
0.786,2.3121,0.0083
0.788,2.3118,0.0084
0.79,2.3115,0.0085
0.792,2.3112,0.0086
0.794,2.3109,0.0087
0.796,2.3106,0.0088
0.798,2.3103,0.0089
0.8,2.31,0.009
0.802,2.3098,0.009
0.804,2.3096,0.009
0.806,2.3094,0.009
0.808,2.3092,0.009
0.81,2.309,0.009
0.812,2.3088,0.009
0.814,2.3086,0.009
0.816,2.3084,0.009
0.818,2.3082,0.009
0.82,2.308,0.009
0.822,2.3078,0.0091
0.824,2.3076,0.0092
0.826,2.3074,0.0093
0.828,2.3072,0.0094
0.83,2.307,0.0095
0.832,2.3068,0.0096
0.834,2.3066,0.0097
0.836,2.3064,0.0098
0.838,2.3062,0.0099
0.84,2.306,0.01
0.842,2.3058,0.0101
0.844,2.3056,0.0102
0.846,2.3054,0.0103
0.848,2.3052,0.0104
0.85,2.305,0.0105
0.852,2.3048,0.0106
0.854,2.3046,0.0107
0.856,2.3044,0.0108
0.858,2.3042,0.0109
0.86,2.304,0.011
0.862,2.3039,0.011
0.864,2.3038,0.011
0.866,2.3037,0.011
0.868,2.3036,0.011
0.87,2.3035,0.011
0.872,2.3034,0.011
0.874,2.3033,0.011
0.876,2.3032,0.011
0.878,2.3031,0.011
0.88,2.303,0.011
0.882,2.3028,0.0111
0.884,2.3026,0.0112
0.886,2.3024,0.0113
0.888,2.3022,0.0114
0.89,2.302,0.0115
0.892,2.3018,0.0116
0.894,2.3016,0.0117
0.896,2.3014,0.0118
0.898,2.3012,0.0119
0.9,2.301,0.012
0.902,2.3009,0.012
0.904,2.3008,0.012
0.906,2.3007,0.012
0.908,2.3006,0.012
0.91,2.3005,0.012
