wl,n,k
0.3,3.14,0.81
3.02E-01,3.12E+00,0.79
3.04E-01,3.11E+00,0.771
3.06E-01,3.09E+00,0.758
3.08E-01,3.08E+00,0.745
3.10E-01,3.07E+00,0.73
3.12E-01,3.05E+00,0.715
3.14E-01,3.04E+00,0.709
3.16E-01,3.03E+00,0.696
3.18E-01,3.02E+00,0.687
3.20E-01,3.01E+00,0.678
3.22E-01,3.00E+00,0.67
3.24E-01,2.99E+00,0.659
3.26E-01,2.99E+00,0.652
3.28E-01,2.98E+00,0.645
3.30E-01,2.97E+00,0.638
3.32E-01,2.97E+00,0.631
3.34E-01,2.96E+00,0.624
3.36E-01,2.95E+00,0.618
3.38E-01,2.95E+00,0.611
3.40E-01,2.94E+00,0.605
3.42E-01,2.94E+00,0.601
3.44E-01,2.94E+00,0.595
3.46E-01,2.93E+00,0.588
3.48E-01,2.93E+00,0.582
3.50E-01,2.93E+00,0.578
3.52E-01,2.92E+00,0.572
3.54E-01,2.92E+00,0.566
3.56E-01,2.92E+00,0.562
3.58E-01,2.92E+00,0.555
3.60E-01,2.92E+00,0.551
3.62E-01,2.91E+00,0.544
3.64E-01,2.91E+00,0.538
3.66E-01,2.91E+00,0.533
3.68E-01,2.91E+00,0.528
3.70E-01,2.91E+00,0.521
3.72E-01,2.91E+00,0.516
3.74E-01,2.91E+00,0.509
3.76E-01,2.91E+00,0.504
3.78E-01,2.91E+00,0.498
3.80E-01,2.90E+00,0.493
3.82E-01,2.90E+00,0.484
3.84E-01,2.90E+00,0.479
3.86E-01,2.90E+00,0.473
3.88E-01,2.90E+00,0.467
3.90E-01,2.90E+00,0.462
3.92E-01,2.89E+00,0.455
3.94E-01,2.89E+00,0.451
3.96E-01,2.88E+00,0.451
3.98E-01,2.88E+00,0.457
4.00E-01,2.88E+00,0.472
4.02E-01,2.91E+00,0.486
4.04E-01,2.94E+00,0.469
4.06E-01,2.96E+00,0.43
4.08E-01,2.95E+00,0.4
4.10E-01,2.94E+00,0.382
4.12E-01,2.93E+00,0.37
4.14E-01,2.92E+00,0.36
4.16E-01,2.91E+00,0.353
4.18E-01,2.91E+00,0.3475
4.20E-01,2.91E+00,0.342
4.22E-01,2.90E+00,0.336
4.24E-01,2.90E+00,0.329
4.26E-01,2.89E+00,0.322
4.28E-01,2.89E+00,0.316
4.30E-01,2.89E+00,0.312
